4154,44816798,57
5091,40778647,71
2145,25838654,95
2403,42853737,44
9819,71741221,74
5087,48634166,18
2174,13327997,14
5681,62877586,45
9040,99181733,4
1655,31800957,21
3968,24884595,91
9100,67234589,84
6720,50791171,48
5632,43741145,60
7867,49339195,55
4480,78024454,25
1822,62277390,88
1351,42622892,40
6051,90766491,56
8604,47457113,17
7089,30155711,87
4284,40869331,24
6697,98261284,69
2937,33105513,71
4083,86512365,4
4862,68674366,31
5942,20159555,78
8648,80839155,40
2265,83887285,16
3148,70418208,90
5002,71269819,59
8445,13364178,65
9939,34018092,48
9784,34569499,29
1238,53862543,45
7256,67245181,88
7932,49299239,86
6608,80933871,38
9637,80920104,58
5022,97908887,63
6179,80779650,34
8695,67732025,39
5077,95947188,45
9509,29327832,40
1035,57502813,90
2942,84924750,29
2835,27343120,84
4735,74753893,88
8967,65640452,29
7622,96071998,94
3375,22421269,29
2656,88086681,39
5972,16548726,51
5066,92947198,24
2751,88089391,11
7873,29315087,78
9282,50276670,36
3206,29502699,99
5054,55831843,77
8054,31149364,49
3912,54130900,46
8469,11582327,9
8027,40491813,32
2379,35511920,38
8326,26015176,35
7008,46408863,62
1068,55258429,9
1505,25110306,2
3688,91221450,29
3031,58040505,59
1180,47846893,88
5434,13332359,96
1924,76559006,31
3974,79696396,7
1564,93403898,61
4892,78277548,71
8205,61531862,93
8591,29684986,55
6997,13472696,88
7282,44178510,87
2454,71784681,78
6714,91657141,94
4525,33064939,1
3024,77325647,33
8907,33736063,4
9678,28770637,87
1299,36212676,3
5177,79390295,48
4132,59836735,17
2416,19848437,17
5302,47019254,32
2927,34943294,74
9329,90458709,9
1182,90719853,33
4463,30817595,38
5438,70207799,76
1785,86901175,11
6938,13947185,83
6169,79903356,9
2217,54308877,92
5136,65865913,41
6324,17166574,72
2047,10305867,2
2140,15404669,87
3081,54237526,57
6110,81120460,86
8285,64574293,39
7099,17777657,40
7507,75305817,51
3957,45203624,51
7480,29761633,41
4994,94366031,47
1348,90527110,2
9953,44845604,70
3997,84756453,18
3545,40423023,93
1466,14013699,29
1826,42286524,85
1937,34336220,77
4525,65181655,62
2001,52445486,33
1807,69016024,17
8909,85785023,99
5992,82545730,24
3050,63950199,41
7127,93755884,93
5436,35456639,85
4366,32818333,28
4900,42775255,62
6522,70761203,96
7931,24239940,23
1356,11431388,36
5959,54009862,29
9750,71774654,16
3679,98466254,32
7797,57612534,13
7142,10387762,48
6820,93129314,50
6440,20240312,97
7387,54173193,15
2039,79697913,73
8391,91339017,76
8853,24384504,92
2393,95847491,78
5336,12796340,22
8188,20893426,31
4187,49610563,93
4915,43149108,38
2047,78152510,35
4257,71011880,85
4588,16484024,44
1967,98828053,11
8248,98452924,1
7283,59316980,20
3427,30910652,58
2064,88694565,32
9137,20315636,59
4504,45594526,68
5512,84389022,96
6305,73987599,50
8522,69716034,66
5130,48312861,2
2144,53147095,4
1399,93014739,81
5223,93552665,99
6900,54151268,92
8233,22998819,9
8389,90910588,21
7535,38554795,76
4892,56063305,6
2254,75532210,82
8188,30541259,99
6082,29806781,32
4465,54917910,38
6066,68923986,12
9507,82182127,45
4031,20195470,49
5385,40751663,51
8908,47813072,58
4869,82670494,96
8570,14064373,67
9701,16895708,30
5383,94755148,55
4274,36676662,71
3921,40943575,79
7394,99071937,82
4835,52749242,15
2139,27246354,79
7457,58292203,59
5098,63752541,9
8037,38887009,34
9704,89381976,76
6318,56235306,44
2449,42576976,19
3680,49942817,43
1976,41563725,22
3721,50749976,79
8613,71079170,87
5184,89858464,99
2316,58346118,45
8887,39385540,31
8444,79573477,4
5998,16069873,94
4341,37619824,41
9303,53561656,53
5622,39555399,76
6671,16966192,49
4246,76261797,28
4848,71612981,44
7513,14334832,23
5661,80412537,34
9838,38826660,36
2666,73048436,25
2993,78304135,88
3244,95840333,43
9685,68932125,91
9500,37609141,81
8292,71951984,79
2162,41937009,26
6094,83387199,2
8383,69394067,76
4875,45620350,49
4105,97151339,26
2802,55497002,54
5540,32443636,9
3956,13670609,99
7928,36448027,42
8590,90937174,76
3991,87049774,22
9472,67668393,69
